estado,año,mes,precio
Aguascalientes,2017,1,16.19
Baja California,2017,1,16.07
Baja California Sur,2017,1,16.11
Campeche,2017,1,15.67
Chiapas,2017,1,15.86
Chihuahua,2017,1,16.04
Ciudad de Mexico,2017,1,16.32
Coahuila de Zaragoza,2017,1,15.8
Colima,2017,1,16.06
Durango,2017,1,16.25
Guanajuato,2017,1,16.1
Guerrero,2017,1,16.03
Hidalgo,2017,1,15.85
Jalisco,2017,1,16.46
Michoacan de Ocampo,2017,1,16.22
Morelos,2017,1,15.91
Mexico,2017,1,16.16
Nacional,2017,1,16.0
Nayarit,2017,1,16.31
Nuevo Leon,2017,1,16.28
Oaxaca,2017,1,15.86
Puebla,2017,1,15.86
Queretaro,2017,1,16.04
Quintana Roo,2017,1,15.89
San Luis Potosi,2017,1,15.85
Sinaloa,2017,1,16.12
Sonora,2017,1,16.12
Tabasco,2017,1,15.57
Tamaulipas,2017,1,15.16
Tlaxcala,2017,1,15.79
Veracruz de Ignacio de la Llave,2017,1,15.52
Yucatan,2017,1,15.44
Zacatecas,2017,1,16.19
Aguascalientes,2017,1,16.18
Baja California,2017,1,16.04
Baja California Sur,2017,1,16.07
Campeche,2017,1,15.65
Chiapas,2017,1,15.85
Chihuahua,2017,1,14.26
Ciudad de Mexico,2017,1,16.29
Coahuila de Zaragoza,2017,1,15.85
Colima,2017,1,16.02
Durango,2017,1,16.21
Guanajuato,2017,1,16.06
Guerrero,2017,1,16.02
Hidalgo,2017,1,15.89
Jalisco,2017,1,16.44
Michoacan de Ocampo,2017,1,16.22
Morelos,2017,1,15.88
Mexico,2017,1,16.13
Nacional,2017,1,15.88
Nayarit,2017,1,16.29
Nuevo Leon,2017,1,16.26
Oaxaca,2017,1,15.86
Puebla,2017,1,15.86
Queretaro,2017,1,16.02
Quintana Roo,2017,1,15.87
San Luis Potosi,2017,1,15.82
Sinaloa,2017,1,16.09
Sonora,2017,1,16.14
Tabasco,2017,1,15.56
Tamaulipas,2017,1,15.19
Tlaxcala,2017,1,15.8
Veracruz de Ignacio de la Llave,2017,1,15.53
Yucatan,2017,1,15.41
Zacatecas,2017,1,16.21
Aguascalientes,2017,1,16.1
Baja California,2017,1,15.85
Baja California Sur,2017,1,16.0
Campeche,2017,1,15.56
Chiapas,2017,1,15.76
Chihuahua,2017,1,14.76
Ciudad de Mexico,2017,1,16.21
Coahuila de Zaragoza,2017,1,15.71
Colima,2017,1,15.95
Durango,2017,1,16.15
Guanajuato,2017,1,16.0
Guerrero,2017,1,15.98
Hidalgo,2017,1,15.78
Jalisco,2017,1,16.36
Michoacan de Ocampo,2017,1,16.14
Morelos,2017,1,15.81
Mexico,2017,1,16.05
Nacional,2017,1,15.78
Nayarit,2017,1,16.23
Nuevo Leon,2017,1,16.18
Oaxaca,2017,1,15.77
Puebla,2017,1,15.77
Queretaro,2017,1,15.95
Quintana Roo,2017,1,15.79
San Luis Potosi,2017,1,15.76
Sinaloa,2017,1,16.02
Sonora,2017,1,15.77
Tabasco,2017,1,15.49
Tamaulipas,2017,1,14.15
Tlaxcala,2017,1,15.7
Veracruz de Ignacio de la Llave,2017,1,15.44
Yucatan,2017,1,15.34
Zacatecas,2017,1,16.12
Aguascalientes,2017,1,16.12
Baja California,2017,1,15.87
Baja California Sur,2017,1,16.02
Campeche,2017,1,15.59
Chiapas,2017,1,15.78
Chihuahua,2017,1,14.74
Ciudad de Mexico,2017,1,16.2
Coahuila de Zaragoza,2017,1,15.62
Colima,2017,1,15.99
Durango,2017,1,16.17
Guanajuato,2017,1,16.03
Guerrero,2017,1,15.99
Hidalgo,2017,1,15.81
Jalisco,2017,1,16.36
Michoacan de Ocampo,2017,1,16.16
Morelos,2017,1,15.84
Mexico,2017,1,16.06
Nacional,2017,1,15.78
Nayarit,2017,1,16.25
Nuevo Leon,2017,1,16.18
Oaxaca,2017,1,15.79
Puebla,2017,1,15.79
Queretaro,2017,1,15.98
Quintana Roo,2017,1,15.81
San Luis Potosi,2017,1,15.78
Sinaloa,2017,1,16.04
Sonora,2017,1,15.67
Tabasco,2017,1,15.52
Tamaulipas,2017,1,13.87
Tlaxcala,2017,1,15.72
Veracruz de Ignacio de la Llave,2017,1,15.47
Yucatan,2017,1,15.36
Zacatecas,2017,1,16.14
Aguascalientes,2017,1,16.03
Baja California,2017,1,15.83
Baja California Sur,2017,1,15.93
Campeche,2017,1,15.49
Chiapas,2017,1,15.69
Chihuahua,2017,1,14.66
Ciudad de Mexico,2017,1,16.08
Coahuila de Zaragoza,2017,1,15.47
Colima,2017,1,15.89
Durango,2017,1,16.07
Guanajuato,2017,1,15.93
Guerrero,2017,1,15.9
Hidalgo,2017,1,15.72
Jalisco,2017,1,16.24
Michoacan de Ocampo,2017,1,16.07
Morelos,2017,1,15.75
Mexico,2017,1,15.94
Nacional,2017,1,15.68
Nayarit,2017,1,16.16
Nuevo Leon,2017,1,16.06
Oaxaca,2017,1,15.7
Puebla,2017,1,15.69
Queretaro,2017,1,15.89
Quintana Roo,2017,1,15.72
San Luis Potosi,2017,1,15.69
Sinaloa,2017,1,15.95
Sonora,2017,1,15.57
Tabasco,2017,1,15.42
Tamaulipas,2017,1,13.72
Tlaxcala,2017,1,15.62
Veracruz de Ignacio de la Llave,2017,1,15.38
Yucatan,2017,1,15.26
Zacatecas,2017,1,16.05
Aguascalientes,2017,1,15.93
Baja California,2017,1,15.81
Baja California Sur,2017,1,15.83
Campeche,2017,1,15.39
Chiapas,2017,1,15.59
Chihuahua,2017,1,14.62
Ciudad de Mexico,2017,1,15.95
Coahuila de Zaragoza,2017,1,15.41
Colima,2017,1,15.79
Durango,2017,1,15.98
Guanajuato,2017,1,15.83
Guerrero,2017,1,15.79
Hidalgo,2017,1,15.61
Jalisco,2017,1,16.12
Michoacan de Ocampo,2017,1,15.97
Morelos,2017,1,15.65
Mexico,2017,1,15.83
Nacional,2017,1,15.57
Nayarit,2017,1,16.07
Nuevo Leon,2017,1,15.93
Oaxaca,2017,1,15.6
Puebla,2017,1,15.58
Queretaro,2017,1,15.78
Quintana Roo,2017,1,15.62
San Luis Potosi,2017,1,15.59
Sinaloa,2017,1,15.85
Sonora,2017,1,15.45
Tabasco,2017,1,15.33
Tamaulipas,2017,1,13.51
Tlaxcala,2017,1,15.52
Veracruz de Ignacio de la Llave,2017,1,15.27
Yucatan,2017,1,15.17
Zacatecas,2017,1,15.96
Aguascalientes,2017,1,15.86
Baja California,2017,1,15.71
Baja California Sur,2017,1,15.75
Campeche,2017,1,15.32
Chiapas,2017,1,15.51
Chihuahua,2017,1,14.49
Ciudad de Mexico,2017,1,15.86
Coahuila de Zaragoza,2017,1,15.36
Colima,2017,1,15.71
Durango,2017,1,15.89
Guanajuato,2017,1,15.75
Guerrero,2017,1,15.71
Hidalgo,2017,1,15.52
Jalisco,2017,1,16.03
Michoacan de Ocampo,2017,1,15.89
Morelos,2017,1,15.56
Mexico,2017,1,15.74
Nacional,2017,1,15.48
Nayarit,2017,1,15.99
Nuevo Leon,2017,1,15.88
Oaxaca,2017,1,15.51
Puebla,2017,1,15.5
Queretaro,2017,1,15.7
Quintana Roo,2017,1,15.55
San Luis Potosi,2017,1,15.5
Sinaloa,2017,1,15.77
Sonora,2017,1,15.33
Tabasco,2017,1,15.25
Tamaulipas,2017,1,13.33
Tlaxcala,2017,1,15.45
Veracruz de Ignacio de la Llave,2017,1,15.19
Yucatan,2017,1,15.09
Zacatecas,2017,1,15.87
Aguascalientes,2017,1,15.92
Baja California,2017,1,15.8
Baja California Sur,2017,1,15.82
Campeche,2017,1,15.38
Chiapas,2017,1,15.58
Chihuahua,2017,1,14.49
Ciudad de Mexico,2017,1,15.92
Coahuila de Zaragoza,2017,1,15.45
Colima,2017,1,15.78
Durango,2017,1,15.97
Guanajuato,2017,1,15.82
Guerrero,2017,1,15.78
Hidalgo,2017,1,15.59
Jalisco,2017,1,16.09
Michoacan de Ocampo,2017,1,15.97
Morelos,2017,1,15.63
Mexico,2017,1,15.8
Nacional,2017,1,15.56
Nayarit,2017,1,16.06
Nuevo Leon,2017,1,16.0
Oaxaca,2017,1,15.59
Puebla,2017,1,15.57
Queretaro,2017,1,15.76
Quintana Roo,2017,1,15.62
San Luis Potosi,2017,1,15.58
Sinaloa,2017,1,15.84
Sonora,2017,1,15.4
Tabasco,2017,1,15.32
Tamaulipas,2017,1,13.36
Tlaxcala,2017,1,15.52
Veracruz de Ignacio de la Llave,2017,1,15.26
Yucatan,2017,1,15.16
Zacatecas,2017,1,15.94
Aguascalientes,2017,1,16.15
Baja California,2017,1,15.98
Baja California Sur,2017,1,16.04
Campeche,2017,1,15.6
Chiapas,2017,1,15.81
Chihuahua,2017,1,14.83
Ciudad de Mexico,2017,1,16.14
Coahuila de Zaragoza,2017,1,15.67
Colima,2017,1,16.01
Durango,2017,1,16.2
Guanajuato,2017,1,16.05
Guerrero,2017,1,16.01
Hidalgo,2017,1,15.82
Jalisco,2017,1,16.32
Michoacan de Ocampo,2017,1,16.19
Morelos,2017,1,15.85
Mexico,2017,1,16.03
Nacional,2017,1,15.79
Nayarit,2017,1,16.28
Nuevo Leon,2017,1,16.25
Oaxaca,2017,1,15.81
Puebla,2017,1,15.79
Queretaro,2017,1,15.99
Quintana Roo,2017,1,15.84
San Luis Potosi,2017,1,15.8
Sinaloa,2017,1,16.07
Sonora,2017,1,15.63
Tabasco,2017,1,15.55
Tamaulipas,2017,1,13.56
Tlaxcala,2017,1,15.74
Veracruz de Ignacio de la Llave,2017,1,15.49
Yucatan,2017,1,15.38
Zacatecas,2017,1,16.16
Aguascalientes,2017,1,16.28
Baja California,2017,1,16.12
Baja California Sur,2017,1,16.17
Campeche,2017,1,15.72
Chiapas,2017,1,15.93
Chihuahua,2017,1,14.98
Ciudad de Mexico,2017,1,16.26
Coahuila de Zaragoza,2017,1,15.84
Colima,2017,1,16.13
Durango,2017,1,16.34
Guanajuato,2017,1,16.17
Guerrero,2017,1,16.14
Hidalgo,2017,1,15.94
Jalisco,2017,1,16.44
Michoacan de Ocampo,2017,1,16.32
Morelos,2017,1,15.98
Mexico,2017,1,16.15
Nacional,2017,1,15.92
Nayarit,2017,1,16.4
Nuevo Leon,2017,1,16.42
Oaxaca,2017,1,15.93
Puebla,2017,1,15.91
Queretaro,2017,1,16.11
Quintana Roo,2017,1,15.97
San Luis Potosi,2017,1,15.93
Sinaloa,2017,1,16.2
Sonora,2017,1,15.79
Tabasco,2017,1,15.67
Tamaulipas,2017,1,13.68
Tlaxcala,2017,1,15.87
Veracruz de Ignacio de la Llave,2017,1,15.61
Yucatan,2017,1,15.5
Zacatecas,2017,1,16.29
Aguascalientes,2017,1,16.36
Baja California,2017,1,16.27
Baja California Sur,2017,1,16.34
Campeche,2017,1,15.81
Chiapas,2017,1,16.01
Chihuahua,2017,1,15.11
Ciudad de Mexico,2017,1,16.35
Coahuila de Zaragoza,2017,1,15.97
Colima,2017,1,16.21
Durango,2017,1,16.48
Guanajuato,2017,1,16.26
Guerrero,2017,1,16.22
Hidalgo,2017,1,16.03
Jalisco,2017,1,16.52
Michoacan de Ocampo,2017,1,16.4
Morelos,2017,1,16.07
Mexico,2017,1,16.23
Nacional,2017,1,16.02
Nayarit,2017,1,16.49
Nuevo Leon,2017,1,16.56
Oaxaca,2017,1,16.01
Puebla,2017,1,15.99
Queretaro,2017,1,16.2
Quintana Roo,2017,1,16.04
San Luis Potosi,2017,1,16.01
Sinaloa,2017,1,16.34
Sonora,2017,1,15.92
Tabasco,2017,1,15.75
Tamaulipas,2017,1,13.76
Tlaxcala,2017,1,15.95
Veracruz de Ignacio de la Llave,2017,1,15.69
Yucatan,2017,1,15.59
Zacatecas,2017,1,16.37
Aguascalientes,2017,1,16.48
Baja California,2017,1,16.38
Baja California Sur,2017,1,16.55
Campeche,2017,1,15.99
Chiapas,2017,1,16.16
Chihuahua,2017,1,15.29
Ciudad de Mexico,2017,1,16.45
Coahuila de Zaragoza,2017,1,16.16
Colima,2017,1,16.34
Durango,2017,1,16.66
Guanajuato,2017,1,16.39
Guerrero,2017,1,16.35
Hidalgo,2017,1,16.1
Jalisco,2017,1,16.67
Michoacan de Ocampo,2017,1,16.56
Morelos,2017,1,16.18
Mexico,2017,1,16.35
Nacional,2017,1,16.16
Nayarit,2017,1,16.71
Nuevo Leon,2017,1,16.72
Oaxaca,2017,1,16.18
Puebla,2017,1,16.11
Queretaro,2017,1,16.31
Quintana Roo,2017,1,16.2
San Luis Potosi,2017,1,16.2
Sinaloa,2017,1,16.53
Sonora,2017,1,16.05
Tabasco,2017,1,15.86
Tamaulipas,2017,1,13.9
Tlaxcala,2017,1,16.03
Veracruz de Ignacio de la Llave,2017,1,15.82
Yucatan,2017,1,15.73
Zacatecas,2017,1,16.57
Aguascalientes,2018,1,17.17
Baja California,2018,1,16.8
Baja California Sur,2018,1,16.97
Campeche,2018,1,16.67
Chiapas,2018,1,16.68
Chihuahua,2018,1,15.8
Ciudad de Mexico,2018,1,17.07
Coahuila de Zaragoza,2018,1,16.69
Colima,2018,1,16.83
Durango,2018,1,17.24
Guanajuato,2018,1,17.03
Guerrero,2018,1,16.92
Hidalgo,2018,1,16.62
Jalisco,2018,1,17.29
Michoacan de Ocampo,2018,1,17.19
Morelos,2018,1,16.78
Mexico,2018,1,16.91
Nacional,2018,1,16.71
Nayarit,2018,1,17.3
Nuevo Leon,2018,1,17.16
Oaxaca,2018,1,16.78
Puebla,2018,1,16.66
Queretaro,2018,1,16.88
Quintana Roo,2018,1,16.75
San Luis Potosi,2018,1,16.85
Sinaloa,2018,1,17.09
Sonora,2018,1,16.43
Tabasco,2018,1,16.42
Tamaulipas,2018,1,14.4
Tlaxcala,2018,1,16.6
Veracruz de Ignacio de la Llave,2018,1,16.36
Yucatan,2018,1,16.33
Zacatecas,2018,1,17.28
Aguascalientes,2018,1,18.0
Baja California,2018,1,17.31
Baja California Sur,2018,1,17.37
Campeche,2018,1,17.26
Chiapas,2018,1,17.17
Chihuahua,2018,1,16.39
Ciudad de Mexico,2018,1,17.85
Coahuila de Zaragoza,2018,1,17.38
Colima,2018,1,17.36
Durango,2018,1,17.85
Guanajuato,2018,1,17.73
Guerrero,2018,1,17.53
Hidalgo,2018,1,17.22
Jalisco,2018,1,18.09
Michoacan de Ocampo,2018,1,17.9
Morelos,2018,1,17.43
Mexico,2018,1,17.62
Nacional,2018,1,17.35
Nayarit,2018,1,17.95
Nuevo Leon,2018,1,17.72
Oaxaca,2018,1,17.38
Puebla,2018,1,17.35
Queretaro,2018,1,17.53
Quintana Roo,2018,1,17.25
San Luis Potosi,2018,1,17.57
Sinaloa,2018,1,17.64
Sonora,2018,1,16.98
Tabasco,2018,1,17.03
Tamaulipas,2018,1,15.07
Tlaxcala,2018,1,17.29
Veracruz de Ignacio de la Llave,2018,1,16.97
Yucatan,2018,1,16.88
Zacatecas,2018,1,18.11
Aguascalientes,2018,1,18.26
Baja California,2018,1,17.53
Baja California Sur,2018,1,17.58
Campeche,2018,1,17.43
Chiapas,2018,1,17.36
Chihuahua,2018,1,16.52
Ciudad de Mexico,2018,1,18.11
Coahuila de Zaragoza,2018,1,17.61
Colima,2018,1,17.57
Durango,2018,1,18.02
Guanajuato,2018,1,17.98
Guerrero,2018,1,17.76
Hidalgo,2018,1,17.44
Jalisco,2018,1,18.33
Michoacan de Ocampo,2018,1,18.11
Morelos,2018,1,17.66
Mexico,2018,1,17.86
Nacional,2018,1,17.58
Nayarit,2018,1,18.19
Nuevo Leon,2018,1,17.93
Oaxaca,2018,1,17.64
Puebla,2018,1,17.58
Queretaro,2018,1,17.8
Quintana Roo,2018,1,17.42
San Luis Potosi,2018,1,17.79
Sinaloa,2018,1,17.89
Sonora,2018,1,17.22
Tabasco,2018,1,17.29
Tamaulipas,2018,1,15.27
Tlaxcala,2018,1,17.51
Veracruz de Ignacio de la Llave,2018,1,17.2
Yucatan,2018,1,17.14
Zacatecas,2018,1,18.36
Aguascalientes,2018,1,18.34
Baja California,2018,1,17.67
Baja California Sur,2018,1,17.67
Campeche,2018,1,17.53
Chiapas,2018,1,17.48
Chihuahua,2018,1,16.48
Ciudad de Mexico,2018,1,18.21
Coahuila de Zaragoza,2018,1,17.68
Colima,2018,1,17.66
Durango,2018,1,18.11
Guanajuato,2018,1,18.07
Guerrero,2018,1,17.86
Hidalgo,2018,1,17.51
Jalisco,2018,1,18.42
Michoacan de Ocampo,2018,1,18.2
Morelos,2018,1,17.75
Mexico,2018,1,17.96
Nacional,2018,1,17.68
Nayarit,2018,1,18.3
Nuevo Leon,2018,1,18.0
Oaxaca,2018,1,17.75
Puebla,2018,1,17.67
Queretaro,2018,1,17.91
Quintana Roo,2018,1,17.47
San Luis Potosi,2018,1,17.86
Sinaloa,2018,1,18.05
Sonora,2018,1,17.37
Tabasco,2018,1,17.42
Tamaulipas,2018,1,15.4
Tlaxcala,2018,1,17.59
Veracruz de Ignacio de la Llave,2018,1,17.31
Yucatan,2018,1,17.25
Zacatecas,2018,1,18.47
Aguascalientes,2018,1,18.46
Baja California,2018,1,17.81
Baja California Sur,2018,1,17.85
Campeche,2018,1,17.7
Chiapas,2018,1,17.65
Chihuahua,2018,1,16.89
Ciudad de Mexico,2018,1,18.49
Coahuila de Zaragoza,2018,1,17.74
Colima,2018,1,17.81
Durango,2018,1,18.28
Guanajuato,2018,1,18.21
Guerrero,2018,1,18.04
Hidalgo,2018,1,17.68
Jalisco,2018,1,18.65
Michoacan de Ocampo,2018,1,18.36
Morelos,2018,1,17.92
Mexico,2018,1,18.18
Nacional,2018,1,17.89
Nayarit,2018,1,18.47
Nuevo Leon,2018,1,18.23
Oaxaca,2018,1,17.91
Puebla,2018,1,17.82
Queretaro,2018,1,18.09
Quintana Roo,2018,1,17.63
San Luis Potosi,2018,1,18.03
Sinaloa,2018,1,18.26
Sonora,2018,1,17.64
Tabasco,2018,1,17.53
Tamaulipas,2018,1,15.74
Tlaxcala,2018,1,17.74
Veracruz de Ignacio de la Llave,2018,1,17.47
Yucatan,2018,1,17.39
Zacatecas,2018,1,18.59
Aguascalientes,2018,1,18.65
Baja California,2018,1,18.08
Baja California Sur,2018,1,18.11
Campeche,2018,1,17.98
Chiapas,2018,1,17.88
Chihuahua,2018,1,16.75
Ciudad de Mexico,2018,1,18.79
Coahuila de Zaragoza,2018,1,18.08
Colima,2018,1,18.03
Durango,2018,1,18.49
Guanajuato,2018,1,18.42
Guerrero,2018,1,18.3
Hidalgo,2018,1,17.9
Jalisco,2018,1,18.94
Michoacan de Ocampo,2018,1,18.6
Morelos,2018,1,18.16
Mexico,2018,1,18.45
Nacional,2018,1,18.1
Nayarit,2018,1,18.69
Nuevo Leon,2018,1,18.56
Oaxaca,2018,1,18.15
Puebla,2018,1,18.03
Queretaro,2018,1,18.35
Quintana Roo,2018,1,17.87
San Luis Potosi,2018,1,18.25
Sinaloa,2018,1,18.51
Sonora,2018,1,17.8
Tabasco,2018,1,17.8
Tamaulipas,2018,1,15.76
Tlaxcala,2018,1,17.97
Veracruz de Ignacio de la Llave,2018,1,17.68
Yucatan,2018,1,17.64
Zacatecas,2018,1,18.79
Aguascalientes,2018,1,19.02
Baja California,2018,1,18.49
Baja California Sur,2018,1,18.47
Campeche,2018,1,18.39
Chiapas,2018,1,18.3
Chihuahua,2018,1,17.14
Ciudad de Mexico,2018,1,19.01
Coahuila de Zaragoza,2018,1,18.43
Colima,2018,1,18.39
Durango,2018,1,18.81
Guanajuato,2018,1,18.83
Guerrero,2018,1,18.73
Hidalgo,2018,1,18.3
Jalisco,2018,1,19.22
Michoacan de Ocampo,2018,1,19.03
Morelos,2018,1,18.56
Mexico,2018,1,18.75
Nacional,2018,1,18.45
Nayarit,2018,1,19.11
Nuevo Leon,2018,1,18.87
Oaxaca,2018,1,18.54
Puebla,2018,1,18.42
Queretaro,2018,1,18.72
Quintana Roo,2018,1,18.27
San Luis Potosi,2018,1,18.56
Sinaloa,2018,1,18.91
Sonora,2018,1,18.19
Tabasco,2018,1,18.15
Tamaulipas,2018,1,16.04
Tlaxcala,2018,1,18.38
Veracruz de Ignacio de la Llave,2018,1,18.02
Yucatan,2018,1,18.08
Zacatecas,2018,1,19.16
Aguascalientes,2018,1,19.55
Baja California,2018,1,19.03
Baja California Sur,2018,1,19.05
Campeche,2018,1,19.0
Chiapas,2018,1,18.87
Chihuahua,2018,1,17.68
Ciudad de Mexico,2018,1,19.34
Coahuila de Zaragoza,2018,1,18.96
Colima,2018,1,18.92
Durango,2018,1,19.29
Guanajuato,2018,1,19.43
Guerrero,2018,1,19.25
Hidalgo,2018,1,18.85
Jalisco,2018,1,19.63
Michoacan de Ocampo,2018,1,19.56
Morelos,2018,1,19.12
Mexico,2018,1,19.15
Nacional,2018,1,18.97
Nayarit,2018,1,19.65
Nuevo Leon,2018,1,19.39
Oaxaca,2018,1,19.09
Puebla,2018,1,18.96
Queretaro,2018,1,19.25
Quintana Roo,2018,1,18.99
San Luis Potosi,2018,1,19.04
Sinaloa,2018,1,19.47
Sonora,2018,1,18.71
Tabasco,2018,1,18.62
Tamaulipas,2018,1,16.56
Tlaxcala,2018,1,18.93
Veracruz de Ignacio de la Llave,2018,1,18.55
